SN,Lastname,Firstname,Gender,Height,Weight,Passport ID,Country,Job Title,Income Annual,Hobby,Car Brand,Age,Num Covid Shots
1,Stark,Ann,F,1.41,48.76,Y5406427J,Hungary,Circulating Process Inspector,117901,Sewing,-,36.0,1.0
2,Mcmillan,Christopher,M,1.94,50.3,O3864865Z,Thailand,Silverware Assembler,9295,Dancing,-,15.0,1.0
3,Fischer,Robert,M,1.77,72.36,O5971567A,Vietnam,Ride Operator,82926,Volunteer Work,Mini,21.0,0.0
4,Salinas,Madison,F,1.39,50.38,U3705002P,Germany,Veneer Jointer,88343,Skiing,-,37.0,0.0
5,Cook,Johnny,M,1.52,65.04,G2366952K,Indonesia,Computerized Environmental Control Installer,27945,Entertaining,-,17.0,1.0
6,Watkins,Stephanie,F,1.39,46.39,69989667Z,Mexico,"Utility Supervisor, Boat And Plant",38369,Golf,-,33.0,1.0
7,Livingston,Kenneth,M,1.73,55.44,T0237699X,Spain,Ham-Rolling-Machine Operator,65758,Volunteer Work,Ford,15.0,1.0
8,Cunningham,Cheryl,F,1.82,55.18,B4385541A,Sweden,Head Sawyer,27789,Working on Cars,-,42.0,2.0
9,Stanley,Andrew,M,1.94,48.36,W5087632M,Luxembourg,Block Feeder,37739,Sleeping,-,22.0,0.0
10,Medina,Gabriel,M,1.75,67.29,R9835942Q,Thailand,Fingernail Former,94169,Cooking,-,22.0,0.0
11,Lamb,Helen,F,1.39,39.32,44734331Y,Spain,Fire-Investigation Lieutenant,34158,Painting,-,21.0,0.0
12,Arnold,Nancy,F,1.39,41.97,38930133B,Argentina,Slime-Plant Operator Ii,17302,Computer Games,-,28.0,2.0
13,Irwin,Randy,M,1.52,54.13,72559732U,Cyprus,"Mechanic, Endless Track Vehicle",22731,Swimming,-,25.0,2.0
14,Weiss,Carolyn,F,1.57,42.27,B5404787R,United Kingdom,Screener Operator,12946,Running,-,32.0,1.0
15,Oneill,Angela,F,1.75,39.32,67300214T,Netherlands,"Test Technician, Semiconductor Processing Equipment",45072,Socializing,Chevrolet,27.0,0.0
16,Atkinson,Eugene,M,1.94,78.3,64238405D,France,"Inspector And Adjuster, Golf Club Head",25521,Working on Cars,-,28.0,1.0
17,Allen,Rachel,F,1.68,49.77,D6103381E,Vietnam,"Instrument Mechanic, Weapons System",8012,Animal Care,-,45.0,1.0
18,Freeman,Kathleen,F,1.47,47.4,71769632P,Mexico,Primer Supervisor,30574,Sleeping,-,21.0,1.0
19,Whitfield,Sharon,F,1.51,39.32,19587653J,Lithuania,Loft Worker Apprentice,116510,Beach,-,34.0,0.0
20,Mayo,Bruce,M,1.71,74.34,R7110805C,France,"Flat Surfacer, Jewel",6201,Gardening,-,25.0,1.0
21,Bender,Diane,F,1.63,45.29,07228763I,Belgium,Lead-Oxide-Mill Tender,109976,Shopping,Aston Martin,30.0,0.0
22,Mooney,Heather,F,1.65,39.32,08651736U,Sweden,Street Cleaner,66044,Computer Games,BMW,15.0,1.0
23,Chan,Arthur,M,1.67,58.17,J6756616K,China,Beater-Engineer Helper,95824,Golf,Kia,25.0,1.0
24,England,Eric,M,1.88,48.36,W2554028T,Greece,"Builder, Beam",30524,Sewing,-,35.0,1.0
25,Walton,Tyler,M,1.66,57.68,87263932T,Thailand,Cd-Mixer,54064,Tennis,Koenigsegg,22.0,0.0
26,Hendricks,Terry,M,1.77,68.98,67772466B,Czechia,Title Analyst,41586,Tennis,-,16.0,2.0
27,Velez,Terry,M,1.71,57.41,73386737H,China,Photographic-Machine Operator,27181,Housework,-,26.0,0.0
28,George,Daniel,M,1.79,50.54,A0978193R,Netherlands,"Cut-Off-Saw Operator, Pipe Blanks",64503,Housework,-,22.0,0.0
29,Cantrell,Harold,M,1.82,52.34,A9736678L,Italy,Fabric Stretcher,176701,Sewing,Ram,24.0,1.0
30,White,Melissa,F,1.57,40.07,N0429324T,Lithuania,Hydraulic-Pressure-Auto-Frettage-Machine-Operator Supervisor,35834,Exercise,-,29.0,0.0
31,Gardner,Danielle,F,1.55,49.27,20985851U,Singapore,Table Worker,42214,Volunteer Work,McLaren,36.0,1.0
32,Ortega,Janice,F,1.68,39.32,B3043100G,Denmark,"Group Leader, Semiconductor Testing",117630,Watching TV,-,26.0,1.0
33,Sweeney,Michelle,F,1.67,45.75,V9753070L,Australia,Print-Shop Helper,48242,Animal Care,Honda,29.0,1.0
34,Pugh,Kevin,M,1.68,48.36,65303172E,India,Fast-Foods Worker,13723,Billiards,-,38.0,1.0
35,Gould,Judith,F,1.65,45.86,Z8757407U,India,Polymerization-Kettle Operator,19440,Animal Care,-,32.0,0.0
36,Nichols,Pamela,F,1.59,52.85,55465098X,Sweden,Glass-Furnace Tender,35834,Working on Cars,-,35.0,2.0
37,Hammond,Diane,F,1.57,46.38,A6456577F,United States of America,"Supervisor, Home Restoration Service",43846,Going to Movies,-,33.0,2.0
38,Owen,Martha,F,1.45,46.78,39648182F,Malta,"Detective, Narcotics And Vice",31459,Relaxing,-,34.0,1.0
39,Hawkins,Ethan,M,1.93,60.93,A1013946N,Czechia,Housecleaner,38407,Bowling,-,20.0,1.0
40,Sampson,Helen,F,1.64,47.09,W6071836E,Portugal,Potato-Chip Frier,12252,Running,-,31.0,1.0
41,Harrell,Lawrence,M,1.89,53.9,85992270I,Thailand,Check Writer,49795,Swimming,Audi,28.0,1.0
42,Villarreal,Katherine,F,1.68,46.3,84014307A,Romania,Computer Processing Scheduler,24099,Sleeping,-,31.0,1.0
43,Mcclain,Denise,F,1.6,47.08,22168244W,Estonia,Refractory-Grinder Operator,169531,Listening to Music,-,40.0,2.0
44,Collins,Albert,M,1.72,58.74,D4570692D,Slovenia,"Supervisor, Drying And Winding",12353,Playing Cards,-,30.0,0.0
45,Watkins,Jeffrey,M,1.88,58.78,P8803042D,Thailand,Dough-Mixer Operator,80585,Animal Care,-,19.0,1.0
46,Clements,Christopher,M,1.88,78.72,14058056N,Czechia,Beater-Engineer Helper,25661,Crafts,-,26.0,1.0
47,Tanner,Jose,M,1.69,75.45,63126225D,Cyprus,Beading Sawyer,104669,Boating,Geely,35.0,0.0
48,Underwood,Jane,F,1.82,47.45,26293501W,Croatia,Vector Control Assistant,28101,Reading,-,27.0,1.0
49,Davenport,Ashley,F,1.65,51.39,42613344V,France,Stripper Apprentice,19565,Watching Sports,-,36.0,0.0
50,Valenzuela,Deborah,F,1.81,49.38,F3282918B,Australia,Hose-Tubing Backer,28602,Tennis,-,37.0,2.0
51,Benton,Melissa,F,1.53,57.38,P6496819D,Mexico,Machine Feeder,51371,Team Sports,Peugeot,31.0,0.0
52,Osborne,Wayne,M,1.68,66.94,J3755462L,South Africa,Fire-Investigation Lieutenant,87074,Painting,-,20.0,0.0
53,Ortega,Gary,M,1.85,48.92,Z1229875T,Lithuania,"Steward/Stewardess, Railroad Dining Car",18612,Watching TV,-,28.0,0.0
54,Crane,Theresa,F,1.82,39.32,H6038839M,Slovakia,Fire-Hose Curer,54108,Billiards,-,29.0,0.0
55,Barber,Samantha,F,1.82,39.32,Q0753021I,Spain,Tin-Whiz-Machine Operator,89655,Computer Games,Rolls Royce,28.0,0.0
56,Gordon,Sean,M,1.82,50.38,13023720J,Romania,Machine-Adjuster Leader,39976,Theater,-,29.0,1.0
57,English,Bruce,M,1.82,67.62,76922135Y,Belgium,Veterinary Epidemiologist,59995,Theater,GMC,36.0,0.0
58,Bartlett,Carolyn,F,1.72,57.0,G3364702I,Italy,"Inspector, Surgical Instruments",71572,Computer Games,-,27.0,0.0
59,Spears,Ann,F,1.62,39.32,12502374D,Luxembourg,Harness-And-Bag Inspector,6451,Going to Movies,-,27.0,0.0
60,Chapman,Jacob,M,1.94,57.38,T0620077I,France,Blending-Line Attendant,31143,Family Time,-,25.0,1.0
61,Sandoval,Diana,F,1.58,52.45,P5978227L,Czechia,Portable Sawyer,11376,Bicycling,-,29.0,1.0
62,Harmon,Eric,M,1.71,82.32,V0647468E,Latvia,Physicist,8353,Going to Movies,-,15.0,1.0
63,Macdonald,Sharon,F,1.41,40.35,58552376E,Austria,Garde Manger,30686,Camping,-,26.0,0.0
64,Solis,Brandon,M,1.8,63.93,69882265P,Malta,"Director, Fundraising",29665,Horseback Riding,-,17.0,1.0
65,Howard,Madison,F,1.43,39.32,Y6983392P,United States of America,Chemical Preparer,26727,Walking,-,34.0,2.0
66,Morales,Melissa,F,1.69,39.32,E9186043I,Croatia,Fish Hatchery Worker,101925,Socializing,-,49.0,1.0
67,Vaughan,Raymond,M,1.82,67.24,A3888723E,Slovakia,Rocket-Engine-Component Mechanic,16941,Relaxing,-,21.0,1.0
68,Haynes,Sharon,F,1.43,42.92,K5640148O,Austria,Park Naturalist,63651,Cooking,Chevrolet,32.0,1.0
69,Harrington,Dylan,M,1.82,48.36,R2932326A,Portugal,Production Machine Tender,135379,Housework,Dodge,26.0,0.0
